MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
64202;Africell;Burundi;zona_roaming_3
64282;Telecel;Burundi;zona_roaming_3
64301;MCELL;Mozambique;zona_roaming_3
64303;Movitel;Mozambique;zona_roaming_3
64304;Vodacom;Mozambique;zona_roaming_3
64502;MTN;Zambia;zona_roaming_3
64503;Cellz(Zamtel);Zambia;zona_roaming_3
64601;Madacom / ZAIN;Madagascar;zona_roaming_3
64602;Orange;Madagascar;zona_roaming_3
64604;Telma;Madagascar;zona_roaming_3
64700;Orange;Reunion/ Mayotte;zona_roaming_1
64801;NetOne;Zimbabwe;zona_roaming_3
64803;Telecel;Zimbabwe;zona_roaming_3
64804;ECONET;Zimbabwe;zona_roaming_3
64901;MTC;Namibia;zona_roaming_3
64903;Leo (Cellone);Namibia;zona_roaming_3
65001;TNM Telekom;Malawi;zona_roaming_3
65202;Orange;Botswana;zona_roaming_3
65310;MTN;Swazilandia;zona_roaming_3
65501;Vodacom;Sudafrica;zona_roaming_3
65507;CELL C;Sudafrica;zona_roaming_3
65510;MTN;Sudafrica;zona_roaming_3
70267;BLT;Belice;zona_roaming_3
70401;Claro;Guatemala;zona_roaming_3
70403;Movistar;Guatemala;zona_roaming_3
70601;CTE Personal;El Salvador;zona_roaming_3
70602;Digicel;El Salvador;zona_roaming_3
70604;Telefonica Moviles;El Salvador;zona_roaming_3
70800;Megatel;Honduras;zona_roaming_3
70802;Tigo;Honduras;zona_roaming_3
70840;Digicel;Honduras;zona_roaming_3
71021;Enitel;Nicaragua;zona_roaming_3
71030;Telefonica Moviles;Nicaragua;zona_roaming_3
71201;ICE;Costa Rica;zona_roaming_3
71203;Claro;Costa Rica;zona_roaming_3
71204;Telefonica;Costa Rica;zona_roaming_3
71401;C&W;Panama;zona_roaming_3
71402;Movistar;Panama;zona_roaming_3
71403;Claro;Panama;zona_roaming_3
71606;Movistar;Peru;zona_roaming_3
71607;Nextel;Peru;zona_roaming_3
71610;Claro;Peru;zona_roaming_3
71617;Entel;Peru;zona_roaming_3
72207;Telefonica Moviles;Argentina;zona_roaming_3
72231;Claro;Argentina;zona_roaming_3
72234;TelecomPersonal;Argentina;zona_roaming_3
72400;Nextel;Brasil;zona_roaming_3
72402;TIM Brasil;Brasil;zona_roaming_3
72403;TIM Brasil;Brasil;zona_roaming_3
72404;TIM Brasil;Brasil;zona_roaming_3
72405;Claro;Brasil;zona_roaming_3
72406;VIVO;BRASIL;zona_roaming_3
72410;VIVO;BRASIL;zona_roaming_3
72411;VIVO;BRASIL;zona_roaming_3
72416;14 Brasil Telecom;Brasil;zona_roaming_3
72423;VIVO MG;BRASIL;zona_roaming_3
72424;Amazonia Celular;Brasil;zona_roaming_3
72431;TNL PCS;Brasil;zona_roaming_3
73001;Entel;Chile;zona_roaming_3
73002;Movistar;Chile;zona_roaming_3
73003;Claro;Chile;zona_roaming_3
73008;VTR;Chile;zona_roaming_3
73210;Comcel;Colombia;zona_roaming_3
73211;Colombia Movil;Colombia;zona_roaming_3
73212;Movistar;Colombia;zona_roaming_3
73402;Digitel;Venezuela;zona_roaming_3
73404;Movistar;Venezuela;zona_roaming_3
73406;Movilnet;Venezuela;zona_roaming_3
73601;Nuevatel;Bolivia;zona_roaming_3
73602;Entel;Bolivia;zona_roaming_3
73603;Telefonica Cell;BOLIVIA;zona_roaming_3
73801;U-Mobile/Digicel;Guyana;zona_roaming_1
74000;Telefonica Ecuador;Ecuador;zona_roaming_3
74001;Conecel;Ecuador;zona_roaming_3
74002;CNT;Ecuador;zona_roaming_3
74401;Hola;Paraguay;zona_roaming_3
74402;Claro;Paraguay;zona_roaming_3
74404;Tigo;Paraguay;zona_roaming_3
74602;Telesur;Surinam;zona_roaming_3
74801;Antel;Uruguay;zona_roaming_3
74807;Movistar;Uruguay;zona_roaming_3
74810;Claro;Uruguay;zona_roaming_3
90105;Thuraya;Emiratos Arabes Unidos;zona_roaming_3
90112;MCP;Noruega;zona_roaming_3
90114;AeroMobile;Noruega;zona_roaming_3
90115;OnAir;Maritime;zona_roaming_3
90119;Vodafone;Malta;zona_roaming_3
90121;Seanet;Suecia;zona_roaming_3
90126;TIM;Italia;zona_roaming_3
90128;Vodafone M2M Malta;Malta;zona_roaming_3
90131;Orange M2M;Francia;zona_roaming_3
90137;Transatel;Francia;zona_roaming_3
90139;MTX Connect;Luxemburgo;zona_roaming_3
90140;Telekom Deutschland;Alemania;zona_roaming_3
90143;EMnify GmbH;Alemania;zona_roaming_3
